driver_id,latitude,longitude,location,online_status,trip_status,ride_acceptance_rate,cancellation_rate,avg_trip_duration_minutes,avg_trip_distance_km,experience_years,rating,completed_trips,preferred_shift,peak_acceptance_rate,off_peak_acceptance_rate,preferred_trip_type,incentive_responsiveness,event_sensitivity,daily_avg_distance_km,coins_earned,target_distance_60_percent,target_distance_100_percent,multiplier_active,multiplier_value,multiplier_valid_until,distance_covered_today,home_latitude,home_longitude,home_location,consecutive_trips
fe2e7cc3-f314-4a24-b8e9-8c309a349515,13.025390802376949,77.5588142861282,Yeshwantpur,Online,En Route,83.58,31.75,11.31,7.41,10,4.05,4943,Morning,86.49,77.46,Short,0.65,0.37,76.49,46,45.89,76.49,False,1.0,2025-03-17 16:44:12.743482,75.21,13.01773525786496,77.55459880813473,Mahalakshmi Layout,4
e20d3edd-f4a3-47c9-9e8e-cebd4125b772,13.017409985039391,77.53766529922319,Mahalakshmi Layout,Offline,En Route,81.77,19.92,5.52,3.58,6,4.09,1600,Afternoon,89.52,72.37,Both,0.8,0.92,47.08,86,28.25,47.08,False,1.25,2025-03-16 16:44:12.744016,15.32,13.00997354579379,77.57152698063547,Mekhri Circle,4
efc0d074-4026-45a3-b372-02f085fc7b4e,13.064635023313278,77.60300510614528,Byatarayanapura,Online,Idle,83.64,5.87,31.8,8.11,10,3.23,300,Night,86.95,83.0,Long,0.66,0.73,91.0,90,54.6,91.0,False,1.25,2025-03-17 16:44:12.744621,10.88,13.016464895744459,77.58131570097234,Mekhri Circle,1
fd09efef-f681-43cb-aa19-95910d14ae9e,13.06541969839498,77.79382136645522,Hoskote,Online,Occupied,91.14,60.48,30.66,14.29,10,4.62,3160,Night,99.18,89.28,Both,0.77,0.81,111.69,61,67.01,111.69,True,1.25,2025-03-15 16:44:12.745100,72.34,12.952610407539906,77.59655137712669,Shanti Nagar,2
03577217-e1b1-4be8-90f2-b9cd51d7e7fd,12.967839042610624,77.57681494605156,Gandhi Nagar,Online,Idle,81.43,21.48,42.16,4.93,1,5.0,798,Morning,91.19,77.32,Short,0.67,0.63,94.46,52,56.68,94.46,False,1.25,2025-03-16 16:44:12.745539,22.86,13.103042710948118,77.40053239230659,Nelamangala,2
493a7c85-133f-4815-b97c-8c1bca199e2c,12.95744319876555,77.60556279512761,Shanti Nagar,Online,Occupied,61.74,19.71,22.88,9.29,7,3.35,3076,Afternoon,70.11,54.98,Both,0.6,0.54,95.66,6,57.4,95.66,False,1.0,2025-03-16 16:44:12.745943,93.95,12.715132717825421,77.29341658349661,Ramanagaram,0
fd451d16-849c-4c94-988b-7a601af84ed1,12.891262055356117,77.62574431515907,Bommanahalli,Offline,En Route,70.46,7.57,37.83,5.93,9,4.33,3061,Afternoon,75.31,65.97,Both,0.59,0.02,79.51,47,47.71,79.51,False,1.0,2025-03-17 16:44:12.746394,57.32,13.02406121583705,77.55065080461111,Yeshwantpur,2
9a72c164-8954-475e-83ff-af4d03009842,12.71215431606119,77.29350404735362,Ramanagaram,Online,Occupied,83.35,29.98,82.22,1.89,5,4.77,1160,All Day,87.63,73.68,Both,0.93,0.29,70.81,86,42.49,70.81,False,1.25,2025-03-17 16:44:12.746879,12.0,12.962036025249168,77.54592309548322,Govindraj Nagar,1
8bc1c529-13e3-456f-88d8-25d6bf9c8551,13.079300336696217,77.79010832261699,Hoskote,Online,En Route,92.01,6.93,8.92,1.08,10,3.01,4231,All Day,93.95,91.3,Long,0.53,0.89,42.21,97,25.33,42.21,True,1.25,2025-03-17 16:44:12.747336,28.37,12.919163053349493,77.61050083233455,Madiwala,4
d7dad226-6e9d-4475-bf95-2e056b2bd8b8,13.012178670041386,77.70360809236622,KR Puram,Online,Idle,97.07,23.22,24.3,14.61,2,4.03,1793,Evening,100.0,94.37,Long,0.54,0.03,117.01,22,70.21,117.01,False,1.0,2025-03-15 16:44:12.747760,6.81,12.98600427455253,77.57544704459463,Gandhi Nagar,0
e96815e0-09be-4294-aa9c-72c9fe346640,13.102803947534355,77.39089867793892,Nelamangala,Offline,Occupied,92.45,43.27,54.4,1.47,7,3.1,2949,Night,96.19,86.19,Long,0.93,0.66,53.03,23,31.82,53.03,False,1.0,2025-03-16 16:44:12.748129,1.41,12.96081551162547,77.7062046048285,Marathahalli,3
8a5ffa53-0b46-4a47-8b0d-6c49e0a16c21,12.70606339852413,77.69836576436884,Anekal,Online,En Route,76.23,19.31,19.49,2.96,8,4.47,3448,All Day,79.05,74.46,Both,0.9,0.99,73.01,81,43.81,73.01,False,1.25,2025-03-17 16:44:12.748485,67.95,13.106768255036862,77.3938798805475,Nelamangala,4
